"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,768,3079.40000000002,2087.31428571429,5964,6144,24,1500,2,0.5,0,1,8
1500,777,3125.00000000005,2111.77500000001,6000,6216,24,1500,2,0.5,0,1,8
1500,770,3125.00000000005,2092.75000000001,6000,6160,24,1500,2,0.5,0,1,8
1500,769,3096.05000000001,2090.03214285715,6038,6152,24,1500,2,0.5,0,1,8
1500,789,2756.76428571429,2144.38928571429,6234,6312,24,1500,2,0.5,0,1,8
1500,761,3092.45000000002,2068.28928571429,6022,6088,24,1500,2,0.5,0,1,8
1500,754,2701.01428571429,2049.26428571429,6024,6032,24,1500,2,0.5,0,1,8
1500,1500,2673.93571428572,3093.35000000001,5922,6026,24,1500,2,0.5,0,1,8
1500,752,3125.00000000005,2043.82857142858,6000,6016,24,1500,2,0.5,0,1,8
1500,794,3107.30000000002,2157.97857142858,6088,6352,24,1500,2,0.5,0,1,8
1500,761,2972.94999999997,2068.28928571429,6044,6088,24,1500,2,0.5,0,1,8
1500,760,3092.00000000002,2065.57142857144,6020,6080,24,1500,2,0.5,0,1,8
1500,753,3086.15000000002,2046.54642857144,5994,6024,24,1500,2,0.5,0,1,8
1500,760,3125.00000000005,2065.57142857144,6000,6080,24,1500,2,0.5,0,1,8
1500,1500,2686.67857142858,2686.67857142858,5970,5970,24,1500,2,0.5,0,1,8
1500,1500,2952.04999999998,3125.00000000005,5956,6000,24,1500,2,0.5,0,1,8
1500,762,2713.75714285715,2071.00714285715,6072,6096,24,1500,2,0.5,0,1,8
1500,1500,2664.37857142858,2664.37857142858,5886,5886,24,1500,2,0.5,0,1,8
1500,1500,2948.24999999998,2948.24999999998,5940,5940,24,1500,2,0.5,0,1,8
1500,757,2705.79285714287,2057.41785714287,6042,6056,24,1500,2,0.5,0,1,8
1500,761,3125.00000000005,2068.28928571429,6000,6088,24,1500,2,0.5,0,1,8
1500,756,2704.20000000001,2054.70000000001,6036,6048,24,1500,2,0.5,0,1,8
1500,759,3083.45000000002,2062.85357142858,5982,6072,24,1500,2,0.5,0,1,8
1500,762,2713.75714285715,2071.00714285715,6072,6096,24,1500,2,0.5,0,1,8
1500,753,2689.86428571429,2046.54642857144,5982,6024,24,1500,2,0.5,0,1,8
1500,754,2966.29999999998,2049.26428571429,6016,6032,24,1500,2,0.5,0,1,8
1500,777,2737.65000000001,2111.77500000001,6162,6216,24,1500,2,0.5,0,1,8
1500,773,2731.27857142858,2100.90357142858,6138,6184,24,1500,2,0.5,0,1,8
1500,758,2970.09999999997,2060.13571428572,6032,6064,24,1500,2,0.5,0,1,8
1500,771,3078.05000000002,2095.46785714287,5958,6168,24,1500,2,0.5,0,1,8
1500,765,3080.75000000002,2079.16071428572,5970,6120,24,1500,2,0.5,0,1,8
1500,761,3125.00000000005,2068.28928571429,6000,6088,24,1500,2,0.5,0,1,8
1500,1500,2680.30714285715,3083.45000000002,5946,5982,24,1500,2,0.5,0,1,8
1500,1500,2693.05000000001,2693.05000000001,5994,5994,24,1500,2,0.5,0,1,8
1500,798,3008.09999999997,2168.85000000001,6192,6384,24,1500,2,0.5,0,1,8
1500,1500,2941.59999999998,2983.39999999997,5912,6088,24,1500,2,0.5,0,1,8
1500,1500,2936.84999999997,3125.00000000005,5892,6000,24,1500,2,0.5,0,1,8
1500,1500,2665.97142857144,2665.97142857144,5892,5892,24,1500,2,0.5,0,1,8
1500,1500,2685.08571428572,2956.79999999998,5964,5976,24,1500,2,0.5,0,1,8
1500,1500,2941.59999999998,3077.60000000002,5912,5956,24,1500,2,0.5,0,1,8
1500,765,2976.74999999997,2079.16071428572,6060,6120,24,1500,2,0.5,0,1,8
1500,757,2969.14999999998,2057.41785714287,6028,6056,24,1500,2,0.5,0,1,8
1500,774,2732.87142857144,2103.62142857144,6144,6192,24,1500,2,0.5,0,1,8
1500,752,2964.39999999997,2043.82857142858,6008,6016,24,1500,2,0.5,0,1,8
1500,754,2966.29999999998,2049.26428571429,6016,6032,24,1500,2,0.5,0,1,8
1500,759,2708.97857142858,2062.85357142858,6054,6072,24,1500,2,0.5,0,1,8
1500,771,2982.44999999997,2095.46785714287,6084,6168,24,1500,2,0.5,0,1,8
1500,1500,2635.70714285715,3104.15000000001,5778,6074,24,1500,2,0.5,0,1,8
1500,1500,3078.95000000002,2724.90714285715,5962,6114,24,1500,2,0.5,0,1,8
1500,753,3086.15000000002,2046.54642857144,5994,6024,24,1500,2,0.5,0,1,8
1500,778,2935.89999999998,2114.49285714287,5888,6224,24,1500,2,0.5,0,1,8
1500,763,3081.65000000002,2073.72500000001,5974,6104,24,1500,2,0.5,0,1,8
1500,1500,3084.35000000002,2969.14999999997,5986,6028,24,1500,2,0.5,0,1,8
1500,760,2971.99999999997,2065.57142857144,6040,6080,24,1500,2,0.5,0,1,8
1500,753,3125.00000000005,2046.54642857144,6000,6024,24,1500,2,0.5,0,1,8
1500,767,2978.64999999997,2084.59642857144,6068,6136,24,1500,2,0.5,0,1,8
1500,764,2975.79999999998,2076.44285714287,6056,6112,24,1500,2,0.5,0,1,8
1500,756,3090.20000000002,2054.70000000001,6012,6048,24,1500,2,0.5,0,1,8
